,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Payables,Accounts Payable,Total Assets,Investments And Advances,Held To Maturity Securities,Available For Sale Securities,Trading Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Receivables,Other Receivables,Accounts Receivable,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold
2024-12-31,1222647540.0,22000000.0,1877071466.0,3099719006.0,59273000000.0,335805000000.0,166954000000.0,526553000000.0,184804000000.0,190748000000.0,17850000000.0,495898000000.0,209366000000.0,768000000.0,208598000000.0,-47852000000.0,-47852000000.0,76842000000.0,206294000000.0,109117000000.0,17881000000.0,31000000.0,17850000000.0,2143579000000.0,287300000000.0,287300000000.0,0.0,48505000000.0,48505000000.0,19589000000.0,28916000000.0,66601000000.0,66601000000.0,66601000000.0,2352945000000.0,720724000000.0,242382000000.0,7399000000.0,249456000000.0,23794000000.0,4494000000.0,19300000000.0,30192000000.0,51116000000.0,275000000.0,50841000000.0,221487000000.0,276532000000.0,22782000000.0,550594000000.0
2023-12-31,1196577865.0,22000000.0,1903113839.0,3099691704.0,63144000000.0,324076000000.0,163334000000.0,511929000000.0,180934000000.0,187853000000.0,17600000000.0,492072000000.0,206251000000.0,798000000.0,205453000000.0,-44800000000.0,-44800000000.0,75238000000.0,198905000000.0,108955000000.0,17631000000.0,31000000.0,17600000000.0,2205583000000.0,286619000000.0,286619000000.0,0.0,37457000000.0,37457000000.0,17235000000.0,20222000000.0,63539000000.0,63539000000.0,63539000000.0,2411834000000.0,721817000000.0,254247000000.0,7902000000.0,214600000000.0,24519000000.0,4421000000.0,20098000000.0,28747000000.0,54190000000.0,275000000.0,53915000000.0,245068000000.0,260932000000.0,27342000000.0,606632000000.0
2022-12-31,1162682999.0,97800000.0,1936986425.0,3099669424.0,0.0,318702000000.0,158075000000.0,500896000000.0,177070000000.0,182194000000.0,18995000000.0,472795000000.0,201838000000.0,649000000.0,201189000000.0,-47062000000.0,-47062000000.0,73967000000.0,194734000000.0,108458000000.0,19026000000.0,31000000.0,18995000000.0,2214838000000.0,271606000000.0,271606000000.0,0.0,47096000000.0,47096000000.0,21566000000.0,25530000000.0,69218000000.0,69218000000.0,69218000000.0,2416676000000.0,716228000000.0,268863000000.0,8040000000.0,200579000000.0,24119000000.0,4428000000.0,19691000000.0,26253000000.0,54546000000.0,354000000.0,54192000000.0,238746000000.0,342025000000.0,30577000000.0,707426000000.0
2021-12-31,1115296641.0,97800000.0,1984355194.0,3099651835.0,20314000000.0,282347000000.0,157183000000.0,465324000000.0,176178000000.0,182977000000.0,18995000000.0,456346000000.0,202672000000.0,700000000.0,201972000000.0,-38765000000.0,-38765000000.0,71240000000.0,184948000000.0,108003000000.0,19026000000.0,31000000.0,18995000000.0,2088741000000.0,254374000000.0,254374000000.0,1900000000.0,27973000000.0,27973000000.0,11955000000.0,16018000000.0,61430000000.0,61430000000.0,61430000000.0,2291413000000.0,700253000000.0,215503000000.0,7337000000.0,198117000000.0,25794000000.0,4495000000.0,21299000000.0,24328000000.0,54795000000.0,455000000.0,54340000000.0,279296000000.0,262033000000.0,27515000000.0,589321000000.0
